1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,1.5,1.2,1,1.5,2.5,1.3,1.2,1,1.3,1.3,1.3,1.2,5,1.3,1.6,1.2,1.4,1.1,1.3,1,2.6,1.1,1,1.3,1.1111,1.1,1.4,1.7,1.5,1.3,2.4,4.8,1.1,1.6667,1.5,1.1,1.2727,1.8,1.1,1.2,1.2,1.3,1.1,1.8,2.2,1.2,1.8,1.6,2.5
1.5,0,1.4,1,1.2,1.2,1.2,1.5,1.3333,1,1,1,1.2,1.2,1.1818,1,1.1,1.5,1.3,1.5,1.1,2.3,1.2,1.2,1,1,1.4,1,1.2,1.1,1.1,1.5,2,1,1,1,1.3,1.1,1.4,1.2,1.1,1.6,1.1,1.2,1.1,1.2727,1,1.2,3.5,1.3
1.2,1.4,0,1.8,2.3,1.3,2.3,1.7,1.1,2.3,1.8,2.3,1.8,1.7,1.2,3.4,1.8,2.5,2,2.3,2.4,1.2,1.3,1.6,1.8,1.6,1.8,1.8,2.2,1.1,1,1.5,2.7,1,1.1,2,2.2222,5,1.4545,1.7,1.3,2.6,2.1,1.6,1.5,2.3,1.3,2.2,1.4,1.8
1,1,1.8,0,2.3333,1.1,4,3.9,1,3.1,3.3,3.6,1.6,1.3,1,3.7,1.6667,2.1,1.3,1.3,3,1.1,2.6,2.9,1.5,2.3,2.7,3.1,3.1,1,1.6,1.2,1.2,1.2,1.2,4,1.4,1.7,1.9,1.4,1,2.9,1.8889,1.9,1.6,2.8,1.3,2.3,1,1.8
1.5,1.2,2.3,2.3333,0,1.1,1.8,2.1,1.2,3.9,3.4,2.8,1.2,1.3,1.1,3.5,1.7,1.4,1.2,2,2.2,1.1,2.4,2.4,1.6,1.6,2.5,1.9,1.7,1.1,1.2222,1.9,1.6,1.1,1.1,2.2,2.1,1.6,1.3,1.2,1,3.8,1.9,2.3,1.4,2,1.3,1.7,1.1,1.6
2.5,1.2,1.3,1.1,1.1,0,1,1.6,1,1,1.2,1.1,1.2222,1.6667,2.7,1,1.1,1.2,2.4,2,1,1,1.9,1,1.3,1.7,1.2,1.3,1,2.1,1.5,1.2,1.3,1,1.7,1.4,1,1,2,1.3,1.1,1.3,1.5,1.1,1.1,1.1,1.1818,1.5,1.4,1.3
1.3,1.2,2.3,4,1.8,1,0,3.7,1,2.7,3.4,3.1,1.5,1.5,1.1,3.4,1.6,1.1,1,1.6,3.1,1.1,2.9,2.4444,1.7,1.8,2.7,4.2,2.1,1.1,1,1.6,1.3,1.2,1.7,3.9,1.3636,1.7,1.2,1.4,1,2.5,1.6,1.3,1.9,1.9,1,2,1.1,1.3
1.2,1.5,1.7,3.9,2.1,1.6,3.7,0,1.2,2.9,3.1,3.2,1.3,1.3,1.2,3.5,1.2,1.3,1,1.4,4.7,1.3,2.5,2.3,1.6,2.2,2.5,3.8,2.2,1.2,1.9,1.2,1,1,1.7,3.6,1.3,1.4,1.7,1.1,1.4,3,1.3,1.2727,1.3,2.2,1.1,2.8,1.1,1.1
1,1.3333,1.1,1,1.2,1,1,1.2,0,1.5,1.5,1.2,1,1,1,1.2,1.5,2.7,2.5,2.7,1.2,1,1.1,1.5,1.7,1,1.1,1.1,1.2,1,1.2,1.3,1.3,2.3,1,1.1,2.2,1.4,1,2.6,1.7,1,2,1.6,1.1,1.3,4.6,1.2,1,1.2727
1.3,1,2.3,3.1,3.9,1,2.7,2.9,1.5,0,3.4,3.3,1.2,1.1,1,4.2,1.6,1.8182,1.4,1.7,3.1,1,2.1818,3,1.2,1.6,2.6,2.8182,2.3,1,1.5,1.6,1.1,1.1,1.3,3.2,1.4,1.6,1.2,1.2,1,3.1,1.3,1.6,1.6,2,1.5,2.3,1,1
