id1,id2,sim
glass#n#1,alloy#n#1,5.56
bird#n#1,crane#n#5,7.38
seashore#n#1,shore#n#1,9.10
championship#n#2,tournament#n#1,8.36
football#n#1,soccer#n#1,9.03
planet#n#3,moon#n#6,8.08
planet#n#3,star#n#1,8.45
professor#n#1,doctor#n#4,6.62
medium#n#1,radio#n#1,7.42
precedent#n#4,antecedent#n#3,6.04
murder#n#1,manslaughter#n#1,8.53
bread#n#1,butter#n#1,6.19
shower#n#3,thunderstorm#n#1,6.31
dollar#n#2,dollar#n#2,9.22
king#n#1,queen#n#2,8.58
lobster#n#1,food#n#1,7.81
Harvard_University#n#1,Yale_University#n#1,8.13
precedent#n#1,case#n#1,5.85
car#n#1,car#n#1,8.94
tiger#n#2,feline#n#1,8.00
cup#n#1,object#n#1,3.69
century#n#1,year#n#1,7.59
furnace#n#1,stove#n#2,8.79
tiger#n#2,animal#n#1,5.62
tiger#n#2,jaguar#n#1,8.00
tiger#n#2,mammal#n#1,6.85
opera#n#1,performance#n#1,6.88
money#n#1,cash#n#1,9.15
vodka#n#1,gin#n#1,8.46
seafood#n#1,food#n#1,8.34
cellular_telephone#n#1,telephone#n#1,7.81
male_child#n#1,cub#n#2,8.83
marathon#n#2,dash#n#2,7.47
train#n#1,car#n#1,6.31
skin#n#1,eye#n#1,6.22
street#n#1,avenue#n#2,8.88
street#n#1,block#n#2,6.88
animation#n#1,death#n#3,7.88
football#n#1,tennis#n#1,6.63
food#n#1,fruit#n#1,7.52
travel#n#1,activity#n#1,5.00
fuck#n#1,sexual_activity#n#1,9.44
seafood#n#1,lobster#n#1,8.70
cup#n#1,artifact#n#1,2.92
calculation#n#1,calculation#n#1,8.44
cup#n#3,entity#n#1,2.15
physics#n#1,chemistry#n#1,7.35
museum#n#1,theater#n#1,7.19
money#n#3,currency#n#1,9.04
bird#n#1,cock#n#5,7.10
psychology#n#1,discipline#n#1,5.58
doctor#n#1,force#n#4,5.00
television_receiver#n#1,radio_receiver#n#1,6.77
tiger#n#2,tiger#n#2,10.00
type#n#1,kind#n#1,8.97
street#n#1,plaza#n#1,6.44
bishop#n#1,rabbi#n#1,6.69
journey#n#1,ocean_trip#n#1,9.29
vodka#n#1,brandy#n#1,8.13
psychology#n#1,science#n#1,6.71
serviceman#n#1,governor#n#1,5.25
tiger#n#2,animal#n#1,7.00
cup#n#1,tableware#n#1,6.85
jaguar#n#1,big_cat#n#1,7.42
scholar#n#1,professor#n#1,6.81
doctor#n#1,nurse#n#1,7.00
announcement#n#2,news#n#1,7.56
dollar#n#1,yen#n#2,7.78
noon#n#1,noon#n#1,9.29
hospital#n#1,infrastructure#n#1,4.63
Arafat#n#1,Jackson#n#7,2.50
net_income#n#1,loss#n#6,7.63
mile#n#1,kilometer#n#1,8.66
sorcerer#n#1,sorcerer#n#1,9.02
telephone#n#1,equipment#n#1,7.13
rock_'n'_roll#n#1,jazz#n#2,7.59
liquid#n#1,water#n#1,7.89
airplane#n#1,car#n#1,5.77
psychology#n#1,psychiatry#n#1,8.08
man#n#1,woman#n#1,8.30
cucumber#n#2,potato#n#1,5.92
tiger#n#2,organism#n#1,4.77
forest#n#1,forest#n#1,7.73
money#n#3,dollar#n#1,8.42
Mexico#n#1,Brazil#n#1,7.44
lobster#n#1,wine#n#1,5.70
football#n#2,basketball#n#2,6.81
food#n#1,cock#n#4,4.42
planet#n#1,sun#n#1,8.02
mental_hospital#n#1,Bedlam#n#2,8.87
king#n#10,castle#n#3,5.92
tiger#n#2,carnivore#n#1,7.08
dividend#n#1,payment#n#1,7.63
tiger#n#2,big_cat#n#1,7.35
aluminum#n#1,metallic_element#n#1,7.83
Japanese#n#1,American#n#1,6.50
jewel#n#1,jewel#n#1,8.96
